date,CPU 1
533,19.25
534,19.25
535,19.25
536,19.25
537,3.13
538,3.13
539,3.13
540,3.13
541,3.13
542,1.06
543,1.06
544,1.06
545,1.06
546,1.06
547,6.61
548,6.61
549,6.61
550,6.61
551,6.61
552,0.51
553,0.51
554,0.51
555,0.51
556,0.51
557,2.81
558,2.81
559,2.81
560,2.81
561,2.81
562,3.00
563,3.00
564,3.00
565,3.00
566,3.00
567,1.12
568,1.12
569,1.12
570,1.12
571,1.12
572,3.81
573,3.81
574,3.81
575,3.81
576,3.81
577,0.24
578,0.24
579,0.24
580,0.24
581,0.24
582,2.79
583,2.79
584,2.79
585,2.79
586,2.79
587,1.12
588,1.12
589,1.12
590,1.12
591,1.12
592,3.81
593,3.81
594,3.81
595,3.81
596,3.81
597,2.12
598,2.12
599,2.12
600,2.12
601,2.12
602,2.94
603,2.94
604,2.94
605,2.94
606,2.94
607,2.06
608,2.06
609,2.06
610,2.06
611,2.06
612,1.06
613,1.06
614,1.06
615,1.06
616,1.06
617,0.06
618,0.06
619,0.06
620,0.06
621,0.06
622,0.93
623,0.93
624,0.93
625,0.93
626,0.93
627,1.94
628,1.94
629,1.94
630,1.94
631,1.94
632,1.06
633,1.06
634,1.06
635,1.06
636,1.06
637,1.00
638,1.00
639,1.00
640,1.00
641,1.00
642,1.00
643,1.00
644,1.00
645,1.00
646,1.00
647,1.94
648,1.94
649,1.94
650,1.94
651,1.94
652,1.06
653,1.06
654,1.06
655,1.06
656,1.06
657,1.94
658,1.94
659,1.94
660,1.94
661,1.94
662,2.00
663,2.00
664,2.00
665,2.00
666,2.00
667,1.06
668,1.06
669,1.06
670,1.06
671,1.06
672,0.06
673,0.06
674,0.06
675,0.06
676,0.06
677,2.80
678,2.80
679,2.80
680,2.80
681,2.80
682,1.13
683,1.13
684,1.13
685,1.13
686,1.13
687,1.00
688,1.00
689,1.00
690,1.00
691,1.00
692,1.00
693,1.00
694,1.00
695,1.00
696,1.00
697,6.62
698,6.62
699,6.62
700,6.62
701,6.62
702,4.19
703,4.19
704,4.19
705,4.19
706,4.19
707,0.29
708,0.29
709,0.29
710,0.29
711,0.29
712,3.74
713,3.74
714,3.74
715,3.74
716,3.74
717,4.94
718,4.94
719,4.94
720,4.94
721,4.94
722,5.94
723,5.94
724,5.94
725,5.94
726,5.94
727,1.32
728,1.32
729,1.32
730,1.32
731,1.32
732,1.00
733,1.00
734,1.00
735,1.00
736,1.00
737,4.74
738,4.74
739,4.74
740,4.74
741,4.74
742,4.06
743,4.06
744,4.06
745,4.06
746,4.06
747,3.06
748,3.06
749,3.06
750,3.06
751,3.06
752,1.13
753,1.13
754,1.13
755,1.13
756,1.13
757,1.00
758,1.00
759,1.00
760,1.00
761,1.00
762,3.80
763,3.80
764,3.80
765,3.80
766,3.80
767,4.00
768,4.00
769,4.00
770,4.00
771,4.00
772,1.18
773,1.18
774,1.18
775,1.18
776,1.18
777,1.00
778,1.00
779,1.00
780,1.00
781,1.00
782,1.94
783,1.94
784,1.94
785,1.94
786,1.94
787,4.82
788,4.82
789,4.82
790,4.82
791,4.82
792,4.06
793,4.06
794,4.06
795,4.06
796,4.06
797,2.12
798,2.12
799,2.12
800,2.12
801,2.12
802,2.00
803,2.00
804,2.00
805,2.00
806,2.00
807,4.80
808,4.80
809,4.80
810,4.80
811,4.80
812,5.00
813,5.00
814,5.00
815,5.00
816,5.00
817,2.18
818,2.18
819,2.18
820,2.18
821,2.18
822,0.14
823,0.14
824,0.14
825,0.14
826,0.14
827,0.00
828,0.00
829,0.00
830,0.00
831,0.00
832,5.63
833,5.63
834,5.63
835,5.63
836,5.63
837,4.13
838,4.13
839,4.13
840,4.13
841,4.13
842,4.00
843,4.00
844,4.00
845,4.00
846,4.00
847,3.06
848,3.06
849,3.06
850,3.06
851,3.06
852,3.94
853,3.94
854,3.94
855,3.94
856,3.94
857,3.06
858,3.06
859,3.06
860,3.06
861,3.06
862,3.00
863,3.00
864,3.00
865,3.00
866,3.00
867,3.00
868,3.00
869,3.00
870,3.00
871,3.00
872,1.13
873,1.13
874,1.13
875,1.13
876,1.13
877,1.00
878,1.00
879,1.00
880,1.00
881,1.00
882,2.88
883,2.88
884,2.88
885,2.88
886,2.88
887,3.00
888,3.00
889,3.00
890,3.00
891,3.00
892,5.81
893,5.81
894,5.81
895,5.81
896,5.81
897,27.53
898,27.53
899,27.53
900,27.53
901,27.53
902,14.95
903,14.95
904,14.95
905,14.95
906,14.95
907,17.74
908,17.74
909,17.74
910,17.74
911,17.74
912,8.65
913,8.65
914,8.65
915,8.65
916,8.65
917,19.25
918,19.25
919,19.25
920,19.25
921,19.25
922,15.31
923,15.31
924,15.31
925,15.31
926,15.31
927,2.85
928,2.85
929,2.85
930,2.85
931,2.85
932,1.06
933,1.06
934,1.06
935,1.06
936,1.06
937,0.07
938,0.07
939,0.07
940,0.07
941,0.07
942,0.93
943,0.93
944,0.93
945,0.93
946,0.93
947,0.07
948,0.07
949,0.07
950,0.07
951,0.07
952,2.81
953,2.81
954,2.81
955,2.81
956,2.81
957,2.07
958,2.07
959,2.07
960,2.07
961,2.07
962,0.12
963,0.12
964,0.12
965,0.12
966,0.12
967,0.00
968,0.00
969,0.00
970,0.00
971,0.00
972,0.00
973,0.00
974,0.00
975,0.00
976,0.00
977,1.87
978,1.87
979,1.87
980,1.87
981,1.87
982,0.13
983,0.13
984,0.13
985,0.13
986,0.13
987,0.00
988,0.00
989,0.00
990,0.00
991,0.00
992,0.00
993,0.00
994,0.00
995,0.00
996,0.00
997,0.94
998,0.94
999,0.94
1000,0.94
1001,0.94
1002,1.00
1003,1.00
1004,1.00
1005,1.00
1006,1.00
1007,0.06
1008,0.06
1009,0.06
1010,0.06
1011,0.06
1012,0.93
1013,0.93
1014,0.93
1015,0.93
1016,0.93
1017,1.94
1018,1.94
1019,1.94
1020,1.94
1021,1.94
1022,0.13
1023,0.13
1024,0.13
1025,0.13
1026,0.13
1027,0.00
1028,0.00
1029,0.00
1030,0.00
1031,0.00
1032,0.94
1033,0.94
1034,0.94
1035,0.94
1036,0.94
1037,0.06
1038,0.06
1039,0.06
1040,0.06
1041,0.06
1042,1.88
1043,1.88
1044,1.88
1045,1.88
1046,1.88
1047,2.00
1048,2.00
1049,2.00
1050,2.00
1051,2.00
1052,0.12
1053,0.12
1054,0.12
1055,0.12
1056,0.12
1057,0.00
1058,0.00
1059,0.00
1060,0.00
1061,0.00
1062,0.00
1063,0.00
1064,0.00
1065,0.00
1066,0.00
1067,0.00
1068,0.00
1069,0.00
1070,0.00
1071,0.00
1072,1.87
1073,1.87
1074,1.87
1075,1.87
1076,1.87
1077,0.12
1078,0.12
1079,0.12
1080,0.12
1081,0.12
1082,0.94
1083,0.94
1084,0.94
1085,0.94
1086,0.94
1087,1.00
1088,1.00
1089,1.00
1090,1.00
1091,1.00
1092,1.00
1093,1.00
1094,1.00
1095,1.00
1096,1.00
1097,0.06
1098,0.06
1099,0.06
1100,0.06
1101,0.06
1102,0.00
1103,0.00
1104,0.00
1105,0.00
1106,0.00
1107,0.00
1108,0.00
1109,0.00
1110,0.00
1111,0.00
1112,0.00
1113,0.00
1114,0.00
1115,0.00
1116,0.00
1117,0.00
1118,0.00
1119,0.00
1120,0.00
1121,0.00
1122,0.94
1123,0.94
1124,0.94
1125,0.94
1126,0.94
1127,2.88
1128,2.88
1129,2.88
1130,2.88
1131,2.88
1132,4.87
1133,4.87
1134,4.87
1135,4.87
1136,4.87
1137,2.19
1138,2.19
1139,2.19
1140,2.19
1141,2.19
1142,2.00
1143,2.00
1144,2.00
1145,2.00
1146,2.00
1147,0.12
1148,0.12
1149,0.12
1150,0.12
1151,0.12
1152,1.87
1153,1.87
1154,1.87
1155,1.87
1156,1.87
1157,2.00
1158,2.00
1159,2.00
1160,2.00
1161,2.00
1162,0.13
1163,0.13
1164,0.13
1165,0.13
1166,0.13
1167,0.93
1168,0.93
1169,0.93
1170,0.93
1171,0.93
1172,3.81
1173,3.81
1174,3.81
1175,3.81
1176,3.81
1177,5.88
1178,5.88
1179,5.88
1180,5.88
1181,5.88
1182,7.86
1183,7.86
1184,7.86
1185,7.86
1186,7.86
1187,3.32
1188,3.32
1189,3.32
1190,3.32
1191,3.32
1192,7.69
1193,7.69
1194,7.69
1195,7.69
1196,7.69
1197,2.38
1198,2.38
1199,2.38
1200,2.38
1201,2.38
1202,2.94
1203,2.94
1204,2.94
1205,2.94
1206,2.94
1207,5.82
1208,5.82
1209,5.82
1210,5.82
1211,5.82
1212,4.15
1213,4.15
1214,4.15
1215,4.15
1216,4.15
1217,3.06
1218,3.06
1219,3.06
1220,3.06
1221,3.06
1222,3.94
1223,3.94
1224,3.94
1225,3.94
1226,3.94
1227,2.13
1228,2.13
1229,2.13
1230,2.13
1231,2.13
1232,21.62
1233,21.62
1234,21.62
1235,21.62
1236,21.62
1237,6.22
1238,6.22
1239,6.22
1240,6.22
1241,6.22
1242,7.81
1243,7.81
1244,7.81
1245,7.81
1246,7.81
1247,8.93
1248,8.93
1249,8.93
1250,8.93
1251,8.93
1252,14.64
1253,14.64
1254,14.64
1255,14.64
1256,14.64
1257,3.00
1258,3.00
1259,3.00
1260,3.00
1261,3.00
1262,17.75
1263,17.75
1264,17.75
1265,17.75
1266,17.75
1267,12.44
1268,12.44
1269,12.44
1270,12.44
1271,12.44
1272,5.44
1273,5.44
1274,5.44
1275,5.44
1276,5.44
1277,12.50
1278,12.50
1279,12.50
1280,12.50
1281,12.50
1282,22.38
1283,22.38
1284,22.38
1285,22.38
1286,22.38
1287,6.08
1288,6.08
1289,6.08
1290,6.08
1291,6.08
1292,4.06
1293,4.06
1294,4.06
1295,4.06
1296,4.06
1297,15.25
1298,15.25
1299,15.25
1300,15.25
1301,15.25
1302,8.52
1303,8.52
1304,8.52
1305,8.52
1306,8.52
1307,17.39
1308,17.39
1309,17.39
1310,17.39
1311,17.39
1312,26.47
1313,26.47
1314,26.47
1315,26.47
1316,26.47
1317,33.55
1318,33.55
1319,33.55
1320,33.55
1321,33.55
1322,10.56
1323,10.56
1324,10.56
1325,10.56
1326,10.56
1327,19.34
1328,19.34
1329,19.34
1330,19.34
1331,19.34
1332,4.10
1333,4.10
1334,4.10
1335,4.10
1336,4.10
1337,15.23
1338,15.23
1339,15.23
1340,15.23
1341,15.23
1342,33.82
1343,33.82
1344,33.82
1345,33.82
1346,33.82
1347,4.94
1348,4.94
1349,4.94
1350,4.94
1351,4.94
1352,20.83
1353,20.83
1354,20.83
1355,20.83
1356,20.83
1357,19.18
1358,19.18
1359,19.18
1360,19.18
1361,19.18
1362,14.32
1363,14.32
1364,14.32
1365,14.32
1366,14.32
1367,7.45
1368,7.45
1369,7.45
1370,7.45
1371,7.45
1372,27.67
1373,27.67
1374,27.67
1375,27.67
1376,27.67
1377,5.58
1378,5.58
1379,5.58
1380,5.58
1381,5.58
1382,18.08
1383,18.08
1384,18.08
1385,18.08
1386,18.08
1387,16.20
1388,16.20
1389,16.20
1390,16.20
1391,16.20
1392,5.70
1393,5.70
1394,5.70
1395,5.70
1396,5.70
1397,16.28
1398,16.28
1399,16.28
1400,16.28
1401,16.28
1402,12.30
1403,12.30
1404,12.30
1405,12.30
1406,12.30
1407,16.69
1408,16.69
1409,16.69
1410,16.69
1411,16.69
1412,13.24
1413,13.24
1414,13.24
1415,13.24
1416,13.24
1417,30.80
1418,30.80
1419,30.80
1420,30.80
1421,30.80
1422,19.84
1423,19.84
1424,19.84
1425,19.84
1426,19.84
1427,19.00
1428,19.00
1429,19.00
1430,19.00
1431,19.00
1432,30.23
1433,30.23
1434,30.23
1435,30.23
1436,30.23
1437,27.25
1438,27.25
1439,27.25
1440,27.25
1441,27.25
1442,19.49
1443,19.49
1444,19.49
1445,19.49
1446,19.49
1447,15.26
1448,15.26
1449,15.26
1450,15.26
1451,15.26
1452,17.84
1453,17.84
1454,17.84
1455,17.84
1456,17.84
1457,15.18
1458,15.18
1459,15.18
1460,15.18
1461,15.18
1462,17.82
1463,17.82
1464,17.82
1465,17.82
1466,17.82
1467,15.17
1468,15.17
1469,15.17
1470,15.17
1471,15.17
1472,21.59
1473,21.59
1474,21.59
1475,21.59
1476,21.59
1477,18.25
1478,18.25
1479,18.25
1480,18.25
1481,18.25
1482,18.94
1483,18.94
1484,18.94
1485,18.94
1486,18.94
1487,11.50
1488,11.50
1489,11.50
1490,11.50
1491,11.50
1492,5.33
1493,5.33
1494,5.33
1495,5.33
1496,5.33
1497,7.82
1498,7.82
1499,7.82
1500,7.82
1501,7.82
1502,12.70
1503,12.70
1504,12.70
1505,12.70
1506,12.70
1507,12.06
1508,12.06
1509,12.06
1510,12.06
1511,12.06
1512,7.34
1513,7.34
1514,7.34
1515,7.34
1516,7.34
1517,9.82
1518,9.82
1519,9.82
1520,9.82
1521,9.82
1522,10.00
1523,10.00
1524,10.00
1525,10.00
1526,10.00
1527,10.00
1528,10.00
1529,10.00
1530,10.00
1531,10.00
1532,9.06
1533,9.06
1534,9.06
1535,9.06
1536,9.06
1537,11.81
1538,11.81
1539,11.81
1540,11.81
1541,11.81
1542,9.20
1543,9.20
1544,9.20
1545,9.20
1546,9.20
1547,4.33
1548,4.33
1549,4.33
1550,4.33
1551,4.33
1552,5.88
1553,5.88
1554,5.88
1555,5.88
1556,5.88
1557,3.19
1558,3.19
1559,3.19
1560,3.19
1561,3.19
1562,3.00
1563,3.00
1564,3.00
1565,3.00
1566,3.00
1567,5.81
1568,5.81
1569,5.81
1570,5.81
1571,5.81
1572,3.19
1573,3.19
1574,3.19
1575,3.19
1576,3.19
1577,3.94
1578,3.94
1579,3.94
1580,3.94
1581,3.94
1582,4.00
1583,4.00
1584,4.00
1585,4.00
1586,4.00
1587,12.45
1588,12.45
1589,12.45
1590,12.45
1591,12.45
1592,3.60
1593,3.60
1594,3.60
1595,3.60
1596,3.60
1597,5.82
1598,5.82
1599,5.82
1600,5.82
1601,5.82
1602,4.13
1603,4.13
1604,4.13
1605,4.13
1606,4.13
1607,8.67
1608,8.67
1609,8.67
1610,8.67
1611,8.67
1612,11.81
1613,11.81
1614,11.81
1615,11.81
1616,11.81
1617,16.69
1618,16.69
1619,16.69
1620,16.69
1621,16.69
1622,14.19
1623,14.19
1624,14.19
1625,14.19
1626,14.19
1627,13.06
1628,13.06
1629,13.06
1630,13.06
1631,13.06
1632,7.37
1633,7.37
1634,7.37
1635,7.37
1636,7.37
1637,12.63
1638,12.63
1639,12.63
1640,12.63
1641,12.63
1642,16.75
1643,16.75
1644,16.75
1645,16.75
1646,16.75
1647,17.94
1648,17.94
1649,17.94
1650,17.94
1651,17.94
1652,24.57
1653,24.57
1654,24.57
1655,24.57
1656,24.57
1657,18.43
1658,18.43
1659,18.43
1660,18.43
1661,18.43
1662,10.50
1663,10.50
1664,10.50
1665,10.50
1666,10.50
1667,9.06
1668,9.06
1669,9.06
1670,9.06
1671,9.06
1672,22.22
1673,22.22
1674,22.22
1675,22.22
1676,22.22
1677,15.54
1678,15.54
1679,15.54
1680,15.54
1681,15.54
1682,18.71
1683,18.71
1684,18.71
1685,18.71
1686,18.71
1687,39.62
1688,39.62
1689,39.62
1690,39.62
1691,39.62
1692,36.31
1693,36.31
1694,36.31
1695,36.31
1696,36.31
1697,14.43
1698,14.43
1699,14.43
1700,14.43
1701,14.43
1702,10.19
1703,10.19
1704,10.19
1705,10.19
1706,10.19
1707,35.37
1708,35.37
1709,35.37
1710,35.37
1711,35.37
1712,12.67
1713,12.67
1714,12.67
1715,12.67
1716,12.67
1717,11.00
1718,11.00
1719,11.00
1720,11.00
1721,11.00
1722,19.45
1723,19.45
1724,19.45
1725,19.45
1726,19.45
1727,11.53
1728,11.53
1729,11.53
1730,11.53
1731,11.53
1732,22.23
1733,22.23
1734,22.23
1735,22.23
1736,22.23
1737,28.63
1738,28.63
1739,28.63
1740,28.63
1741,28.63
1742,12.07
1743,12.07
1744,12.07
1745,12.07
1746,12.07
1747,3.47
1748,3.47
1749,3.47
1750,3.47
1751,3.47
1752,7.70
1753,7.70
1754,7.70
1755,7.70
1756,7.70
1757,20.19
1758,20.19
1759,20.19
1760,20.19
1761,20.19
1762,5.02
1763,5.02
1764,5.02
1765,5.02
1766,5.02
1767,10.57
1768,10.57
1769,10.57
1770,10.57
1771,10.57
1772,10.06
1773,10.06
1774,10.06
1775,10.06
1776,10.06
1777,6.27
1778,6.27
1779,6.27
1780,6.27
1781,6.27
